
==============================
RESULTADOS DO ALGORITMO: BOTTOM_LEFT
==============================

bin_size  n_itens   item_group  algorithm      n_bins    time_sec    total_filled_area total_void_area   total_void_area_ignore_last
--------------------------------------------------------------------------------------------------------------
10        100       grandes     bottom_left    34        0.012993    2780              620               545               
10        200       grandes     bottom_left    77        0.044999    6564              1136              1081              
10        400       grandes     bottom_left    140       0.173998    12371             1629              1592              
10        800       grandes     bottom_left    268       0.720003    24586             2214              2177              
10        1600      grandes     bottom_left    511       2.997996    47645             3455              3445              
10        3200      grandes     bottom_left    1004      12.932634   96326             4074              4022              
10        6400      grandes     bottom_left    1989      53.977507   191745            7155              7091              
10        12800     grandes     bottom_left    4005      221.904432  390301            10199             10135             
10        100       medios      bottom_left    22        0.013000    1844              356               305               
10        200       medios      bottom_left    38        0.050995    3383              417               376               
10        400       medios      bottom_left    68        0.228999    6480              320               272               
10        800       medios      bottom_left    140       0.868000    13238             762               697               
10        1600      medios      bottom_left    261       3.667997    25442             658               588               
10        3200      medios      bottom_left    500       15.080039   49466             534               479               
10        6400      medios      bottom_left    1026      61.818289   101606            994               924               
10        12800     medios      bottom_left    2075      249.937227  205434            2066              2051              
10        100       pequenos    bottom_left    4         0.018998    388               12                0                 
10        200       pequenos    bottom_left    8         0.085000    793               7                 2                 
10        400       pequenos    bottom_left    17        0.313000    1675              25                10                
10        800       pequenos    bottom_left    33        1.283999    3202              98                7                 
10        1600      pequenos    bottom_left    65        5.231844    6467              33                3                 
10        3200      pequenos    bottom_left    130       20.580012   12972             28                0                 
10        6400      pequenos    bottom_left    259       81.635089   25868             32                0                 
10        12800     pequenos    bottom_left    513       328.798865  51274             26                2                 
20        100       grandes     bottom_left    9         0.047000    2891              709               369               
20        200       grandes     bottom_left    16        0.173998    5623              777               426               
20        400       grandes     bottom_left    32        0.727998    12028             772               626               
20        800       grandes     bottom_left    61        2.827569    23411             989               789               
20        1600      grandes     bottom_left    126       11.481999   49031             1369              1211              
20        3200      grandes     bottom_left    245       46.405506   95500             2500              2271              
20        6400      grandes     bottom_left    492       192.715123  193601            3199              2990              
20        12800     grandes     bottom_left    972       4539.414321 384213            4587              4357              
20        100       medios      bottom_left    5         0.053999    1534              466               87                
20        200       medios      bottom_left    9         0.209995    3427              173               76                
20        400       medios      bottom_left    17        0.803999    6523              277               141               
20        800       medios      bottom_left    33        3.143000    12596             604               265               
20        1600      medios      bottom_left    64        13.257598   25135             465               273               
20        3200      medios      bottom_left    129       54.332911   50982             618               462               
20        6400      medios      bottom_left    259       216.719337  102746            854               755               
20        12800     medios      bottom_left    514       1361.162869 204234            1366              1106              
20        100       pequenos    bottom_left    2         0.063998    412               388               12                
20        200       pequenos    bottom_left    3         0.303998    823               377               6                 
20        400       pequenos    bottom_left    5         1.200014    1622              378               11                
20        800       pequenos    bottom_left    9         5.180998    3273              327               10                
20        1600      pequenos    bottom_left    16        21.386853   6244              156               0                 
20        3200      pequenos    bottom_left    32        86.043519   12566             234               0                 
20        6400      pequenos    bottom_left    65        346.537213  25615             385               6                 
20        12800     pequenos    bottom_left    128       1361.121995 51037             163               3                 



==============================
RESULTADOS DO ALGORITMO: MAX_RECTS
==============================

